rank,word,score,doc_freq,corpus_freq
1,sap,1,1,9
2,ionos,0.972,1,11
3,schnellere,0.856,1,2
4,appsheet,0.696,1,8
5,infarm,0.629,1,14
6,grundlagen,0.625,1,2
7,vramca,0.55,1,5
8,webhosting,0.477,1,3
9,europäischen,0.477,1,3
10,instanzen,0.428,1,1
11,trainierst,0.428,1,1
12,datensicherheit,0.428,1,1
13,kundeninformationen,0.428,1,1
14,geteilten,0.428,1,1
15,throttling,0.428,1,1
16,warteschlangen,0.428,1,1
17,trainiere,0.428,1,1
18,abgesicherten,0.428,1,1
19,netzwerken,0.428,1,1
20,internetzugang,0.428,1,1
21,iteration,0.428,1,1
22,entwicklungszyklen,0.428,1,1
23,huggingface,0.425,2,3
24,scientists,0.403,1,1
25,engineers,0.403,1,1
26,forschern,0.403,1,1
27,transformers,0.403,1,1
28,gegensatz,0.403,1,1
29,forschungsumfeld,0.403,1,1
30,beschleunigung,0.403,1,1
31,checkpointing,0.403,1,1
32,trainingsmetriken,0.403,1,1
33,rank,0.399,2,18
34,tuning,0.394,4,26
35,contact,0.383,1,9
36,callcenter,0.383,1,7
37,sensible,0.38,1,1
38,stabilen,0.38,1,1
39,abhängig,0.38,1,1
40,nachteile,0.36,2,6
41,anpassen,0.358,1,1
42,basierte,0.358,1,1
43,konforme,0.358,1,1
44,matrizen,0.355,2,8
45,coach,0.347,1,2
46,datensätze,0.344,2,2
47,ehemaligen,0.333,1,1
48,ingenieuren,0.333,1,1
49,integriertes,0.333,1,1
50,softwaresystem,0.333,1,1
51,grundstein,0.333,1,1
52,generationen,0.333,1,1
53,durchbruch,0.333,1,1
54,kernproduktportfolio,0.333,1,1
55,beschaffungs,0.333,1,1
56,kundenerlebnislösungen,0.333,1,1
57,unternehmenssoftware,0.333,1,1
58,betrieben,0.333,1,1
59,marktstellung,0.333,1,1
60,mitarbeitern,0.333,1,1
61,wertvollsten,0.333,1,1
62,technologieunternehmen,0.333,1,1
63,konkurriert,0.333,1,1
64,salesforce,0.333,1,1
65,zahlreicher,0.333,1,1
66,öffentlicher,0.333,1,1
67,einrichtungen,0.333,1,1
68,nachhaltigkeitslösungen,0.333,1,1
69,transparenz,0.333,1,1
70,innovationsführer,0.333,1,1
71,intelligenter,0.333,1,1
72,datengestützter,0.333,1,1
73,unternehmenslösungen,0.333,1,1
74,datenschutz,0.333,1,2
75,rechner,0.333,1,1
76,langsamer,0.33,1,2
77,vorteile,0.318,2,6
78,montabaur,0.318,1,2
79,europäische,0.318,1,2
80,farmen,0.315,1,7
81,nativer,0.314,1,1
82,gängige,0.314,1,1
83,pytorch,0.314,1,1
84,idealen,0.314,1,1
85,privatsphäre,0.312,1,1
86,interaktiven,0.312,1,1
87,versioning,0.312,1,1
88,versionierung,0.312,1,1
89,kompletter,0.312,1,1
90,accelerated,0.312,1,1
91,blitzschnelles,0.312,1,1
92,compliant,0.312,1,1
93,telemetrie,0.312,1,1
94,datenübertragung,0.312,1,1
95,registriere,0.312,1,1
96,datensatz,0.312,1,1
97,konfiguriere,0.312,1,1
98,beobachte,0.312,1,1
99,fortschritt,0.312,1,1
100,ultimative,0.312,1,1
101,fortgeschrittenen,0.312,1,1
102,techniken,0.312,1,1
103,underfitting,0.312,1,1
104,languagetool,0.309,2,17
105,sagemaker,0.305,2,3
106,paperspace,0.305,2,3
107,agent,0.304,1,10
108,pflanzen,0.3,1,5
109,milliarden,0.299,2,6
110,späteren,0.296,1,1
111,globalen,0.296,1,1
112,brachten,0.296,1,1
113,personal,0.296,1,1
114,analytik,0.296,1,1
115,rückgrat,0.296,1,1
116,konzerne,0.296,1,1
117,aktuelle,0.296,1,1
118,tracking,0.296,1,1
119,hosted,0.294,1,10
120,cuda,0.287,2,8
121,zahlst,0.285,1,1
122,reisen,0.285,1,1
123,mittlere,0.283,1,2
124,verfolge,0.278,1,1
125,metriken,0.278,1,1
126,historie,0.278,1,1
127,register,0.278,1,1
128,lade,0.278,1,2
129,herunter,0.278,1,1
130,loss,0.278,1,2
131,coaching,0.278,1,1
132,internet,0.274,2,3
133,übersetzungen,0.274,1,5
134,maximale,0.272,2,2
135,positioniert,0.27,2,3
136,kannst,0.269,1,1
137,tausende,0.263,2,2
138,infarms,0.262,1,5
139,framespell,0.261,4,36
140,führend,0.259,1,1
141,network,0.259,1,1
